id$$国标ID,name$$名称,direction$$方向 1-上行 2-下行,dir_name$$道路方向,region_id$$所在地市编码,region_name$$所在地市名称,lat$$纬度,lng$$经度,opma_road_id$$所属高速公路路线编码（运营业务）,opma_road_name$$所属高速公路路线名称（运营业务）,opma_clique_id$$所属集团公司编码,opma_clique_name$$所属集团公司名称,opma_manager_corp_id$$所属管理公司编码,opma_manager_corp_name$$所属管理公司名称,opma_manager_id$$所属运管单位编码,opma_manager_name$$所属运管单位名称,stake_num$$桩号,hex_code$$hex编码,reverse_gantry_hex$$反向门架的hex编码,"work_mode$$工作模式 1-路段门架,2-省界入口门架,3-省界出口门架,4-虚拟门架"
G002537004002110010,临沭北虚-青云枢纽收费门架,1,深圳方向,371300,临沂,35.04361000000000000,118.67228300000000000,G002537,G25长深高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K1616+189,3C5217,3D5218,1
G002537004002120020,青云枢纽-临沭北虚收费门架,2,长春方向,371300,临沂,35.04463949000000000,118.67085900000000000,G002537,G25长深高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K1616+189,3D5218,3C5217,1
G002537004002210010,青云枢纽-临沭虚收费门架,1,深圳方向,371300,临沂,35.01652500000000000,118.70705900000000000,G002537,G25长深高速,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,K1631+650,3C5219,3D521A,1
S003337001000720060,汶上南虚-汶上西虚收费门架,2,济南方向,370800,济宁,35.71581800000000000,116.41626800000000000,S003337,S33济徐高速,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,K171+820,3D530F,3C530E,1
G001837001000410040,南海新港虚-威乳荣文立交收费门架,1,乌海方向,371000,威海,37.04867000000000000,122.03827600000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG117,山东高速威海发展有限公司,YG117  ,山东高速威海发展有限公司,K030+400,3C5E04,3D5E05,1
G001837001000820080,荣成西虚-荣成虚收费门架,2,荣成方向,371000,威海,37.07324800000000000,122.31751600000000000,G001837,G18荣乌高速,YG1,山东高速集团,YG117,山东高速威海发展有限公司,YG117  ,山东高速威海发展有限公司,K005+100,3D5E08,3C5E01,1
G251637002000310030,滨城北虚-长深济东立交收费门架,1,吕梁方向,371600,滨州,37.49385000000000000,117.97137600000000000,G251637,G2516东吕高速,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,K057+960,3C301C,3D3025,1
G251637002000820080,济阳东虚-惠民西虚收费门架,2,东营方向,371600,滨州,37.21971800000000000,117.41624000000000000,G251637,G2516东吕高速,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,K119+750,3D3021,3C3020,1
G251637002000920090,惠民西虚-惠民虚收费门架,2,东营方向,371600,滨州,37.23714600000000000,117.46020500000000000,G251637,G2516东吕高速,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,K115+380,3D3022,3C301F,1
G251637002001020100,惠民虚-滨州西虚收费门架,2,东营方向,371600,滨州,37.37504200000000000,117.60262600000000000,G251637,G2516东吕高速,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,K094+740,3D3023,3C301E,1
