id$$主键，国标id,station_id$$省标ID,name$$简称,full_name$$全称,toll_plaza_count$$收费广场数量,lng$$经度,lat$$纬度,toll_station_lane_count$$收费站总车道数,toll_station_mtc_count_in$$mtc车道数（入口）,toll_station_etc_count_in$$etc专用车道（入口）,toll_station_etc_count_out$$etc专用车道（出口）,toll_station_mtc_count_out$$mtc专用车道（出口）,region_id$$所在地市编码,region_name$$所在地级市,opma_clique_id$$所属集团公司编码,opma_clique_name$$所属集团公司名称,opma_manager_corp_id$$所属管理公司编码,opma_manager_corp_name$$所属管理公司名称,opma_manager_id$$所属运管单位编码,opma_manager_name$$所属运管单位名称,opma_road_id$$所属高速公路路线编码（运营业务）,opma_road_name$$所属高速公路路线名称（运营业务）,opma_section_id$$None,opma_section_name$$None,opma_stake_num$$所在桩号（运营业务）,opma_stake_no$$所在桩号（保留3位小数）千米
G0002370040030,040903,彩石,山东彩石站,2.0,117.329532000000000,36.615672000000000,5.0,1.0,1.0,2.0,1.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10108,京沪济南运管中心,G000237,G2京沪高速,G00023701,G2京沪高速济南段,K415+003,415.003
G0002370040060,040906,雪野,山东雪野站,2.0,117.530978000000000,36.454079000000000,8.0,1.0,2.0,3.0,2.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10108,京沪济南运管中心,G000237,G2京沪高速,G00023701,G2京沪高速济南段,K446+109,446.109
G0002370050010,050201,蒙阴,山东蒙阴站,2.0,117.935214000000000,35.688864000000000,8.0,2.0,1.0,3.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G000237,G2京沪高速,G00023713,G2京沪高速临沂段,K551+000,551.000
G0002370050030,050203,青驼,山东青驼站,2.0,118.260115000000000,35.411009000000000,9.0,2.0,1.0,4.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G000237,G2京沪高速,G00023713,G2京沪高速临沂段,K594+914,594.914
G0002370050040,050205,临沂,山东临沂站,2.0,118.254934000000000,35.137579000000000,15.0,5.0,2.0,3.0,5.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G000237,G2京沪高速,G00023713,G2京沪高速临沂段,K625+241,625.241
G0002370050070,050208,临沂枣园,山东临沂枣园站,2.0,118.257903000000000,35.209479000000000,9.0,2.0,2.0,3.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G000237,G2京沪高速,G00023713,G2京沪高速临沂段,K617+040,617.040
G0002370080010,400101,遥墙,山东遥墙站,2.0,117.184580000000000,36.817534000000000,7.0,2.0,1.0,1.0,3.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,G200137,G2001济南绕城高速,G20013701,G2001济南绕城高速济南段,K117+739,117.739
G0002370080040,400104,齐河东,山东齐河东站,2.0,116.855432000000000,36.796392000000000,7.0,2.0,1.0,2.0,2.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10109,济青济南运管中心,G200137,G2001济南绕城高速,G20013714,G2001济南绕城高速德州段,K086+501,86.501
G0002370130040,050104,新泰西,山东新泰西站,2.0,117.537168000000000,35.948496000000000,8.0,2.0,1.0,3.0,2.0,370900,泰安,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,S003137,S31泰新高速,S00313709,S31泰新高速,K056+100,56.100
G0003370010050,020105,平原,山东平原站,2.0,116.491624968022000,37.216493640568500,8.0,2.0,2.0,2.0,2.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10101,德州运管中心,G000337,G3京台高速,G00033714,G3京台高速德州段,K334+000,334.000
