iddd,start_idd,end_idd,section_length(meter),gantry_id,start_idd_loc,end_idd_loc
6492,7029,7502,16344.35055,G002237003001510150,"(118.42291879980797, 36.083407700145116)","(118.2855603001904, 36.167616299958546)"
6502,7503,7026,16098.5364,G002237003001620160,"(118.28634868255763, 36.16693526086238)","(118.42148349924773, 36.084372898999774)"
7077,6735,7435,15467.7835,S000637003005220500,"(118.17712399853507, 36.57937754385043)","(118.02323069974196, 36.60499580020043)"
7078,7430,6720,15632.90109,S000637003005110490,"(118.01542269963862, 36.60314209973295)","(118.17252194117906, 36.575909706150256)"
6504,6959,7487,3622.886199,G002237003001820180,"(118.2361497998059, 36.177271099777585)","(118.27539915524933, 36.17128880140706)"
6490,7488,6958,3637.959694,G002237003001710170,"(118.27549449708931, 36.17143150114891)","(118.23605169846671, 36.17739020036506)"
6491,7502,7488,1004.575281,,"(118.2855603001904, 36.167616299958546)","(118.27549449708931, 36.17143150114891)"
6503,7487,7503,1104.773694,,"(118.27539915524933, 36.17128880140706)","(118.28634868255763, 36.16693526086238)"
8177,6113,7419,1713.870924,S000637003004910470,"(117.98248241237455, 36.59846604695423)","(118.00108409955284, 36.60191039973515)"
8176,7421,6138,1810.819824,S000637003005020480,"(118.00556919979358, 36.602490900308695)","(117.98570304873951, 36.599582269449115)"
8001,7470,7467,7729.951589,,"(118.15674205982376, 36.822999047041506)","(118.12864591588769, 36.75985686116069)"
8002,7468,7471,8195.197345,,"(118.12867700000824, 36.75584390004016)","(118.15700099501055, 36.82317703718567)"
8003,7435,7432,579.7062327,,"(118.02323069974196, 36.60499580020043)","(118.01694680039355, 36.60448330040031)"
8004,7427,7421,778.2482687,,"(118.0131544994412, 36.60540709990728)","(118.00556919979358, 36.602490900308695)"
8005,7420,7422,523.5003882,,"(118.00552229992866, 36.60197499956405)","(118.0069835997636, 36.59814849970773)"
8006,7420,7428,992.8185917,,"(118.00552229992866, 36.60197499956405)","(118.01442330040682, 36.60478749993513)"
8007,7426,7430,437.0362801,,"(118.0110913998157, 36.60144850000736)","(118.01542269963862, 36.60314209973295)"
8008,7432,7425,833.1272175,,"(118.01694680039355, 36.60448330040031)","(118.00992560041722, 36.60177010022586)"
8009,7426,7429,796.6149894,,"(118.0110913998157, 36.60144850000736)","(118.01540570048431, 36.60336880039199)"
8010,7429,7421,885.2064761,,"(118.01540570048431, 36.60336880039199)","(118.00556919979358, 36.602490900308695)"
8011,7424,7430,539.1829478,,"(118.00943219966233, 36.602607399953804)","(118.01542269963862, 36.60314209973295)"
8012,7422,7417,9556.672514,S002737003003110310,"(118.0069835997636, 36.59814849970773)","(117.98789253629894, 36.51426908615102)"
8013,7418,7423,10097.54574,S002737003003220320,"(117.98801465758136, 36.511504308697155)","(118.008688899698, 36.59990509961743)"
8014,7433,7425,886.7657724,,"(118.01780059993578, 36.606537099921255)","(118.00992560041722, 36.60177010022586)"
8015,7423,7428,752.406043,,"(118.008688899698, 36.59990509961743)","(118.01442330040682, 36.60478749993513)"
8016,7425,7422,480.2843346,,"(118.00992560041722, 36.60177010022586)","(118.0069835997636, 36.59814849970773)"
8017,7428,7434,671.8477696,,"(118.01442330040682, 36.60478749993513)","(118.02120699963093, 36.607321800192416)"
8019,7499,7498,312.3122153,,"(118.2813276087439, 36.16311839993502)","(118.28108513035194, 36.16592489729285)"
8020,7498,7489,971.8714158,,"(118.28108513035194, 36.16592489729285)","(118.27665335274257, 36.17132969569821)"
8021,7492,7491,539.7592045,,"(118.27901233895963, 36.17809957988179)","(118.27840514415615, 36.17327007485036)"
8022,7491,7489,295.7995443,,"(118.27840514415615, 36.17327007485036)","(118.27665335274257, 36.17132969569821)"
8023,7489,7488,104.8877228,,"(118.27665335274257, 36.17132969569821)","(118.27549449708931, 36.17143150114891)"
8024,7502,7500,476.1142761,,"(118.2855603001904, 36.167616299958546)","(118.281910845662, 36.17064565428601)"
8025,7500,7494,789.2341004,,"(118.281910845662, 36.17064565428601)","(118.27955423510832, 36.17155507584494)"
8026,7500,7493,487.1333754,,"(118.281910845662, 36.17064565428601)","(118.27944474450814, 36.17442749467467)"
8027,7487,7490,312.9925756,,"(118.27539915524933, 36.17128880140706)","(118.27835172915167, 36.16986114068822)"
8028,7490,7496,276.8142813,,"(118.27835172915167, 36.16986114068822)","(118.2801786444049, 36.167942772200306)"
8029,7490,7495,903.2005867,,"(118.27835172915167, 36.16986114068822)","(118.27971293271781, 36.17174781465043)"
8030,7491,7501,958.1380337,,"(118.27840514415615, 36.17327007485036)","(118.28461975510355, 36.167380210416425)"
8031,7498,7501,392.3161673,,"(118.28108513035194, 36.16592489729285)","(118.28461975510355, 36.167380210416425)"
8032,7501,7503,163.1667092,,"(118.28461975510355, 36.167380210416425)","(118.28634868255763, 36.16693526086238)"
8034,7499,7495,968.4372038,,"(118.2813276087439, 36.16311839993502)","(118.27971293271781, 36.17174781465043)"
8035,7495,7493,298.2498833,,"(118.27971293271781, 36.17174781465043)","(118.27944474450814, 36.17442749467467)"
8036,7494,7496,404.7387339,,"(118.27955423510832, 36.17155507584494)","(118.2801786444049, 36.167942772200306)"
8037,7435,7429,725.1554562,,"(118.02323069974196, 36.60499580020043)","(118.01540570048431, 36.60336880039199)"
8038,7423,7426,275.1699934,,"(118.008688899698, 36.59990509961743)","(118.0110913998157, 36.60144850000736)"
8039,7419,7424,750.7126123,,"(118.00108409955284, 36.60191039973515)","(118.00943219966233, 36.602607399953804)"
8040,7433,7427,435.7649137,,"(118.01780059993578, 36.606537099921255)","(118.0131544994412, 36.60540709990728)"
8041,7432,7434,561.755382,,"(118.01694680039355, 36.60448330040031)","(118.02120699963093, 36.607321800192416)"
8042,7419,7420,397.8542141,,"(118.00108409955284, 36.60191039973515)","(118.00552229992866, 36.60197499956405)"
8043,7493,7486,6043.139806,S002737003004220420,"(118.27944474450814, 36.17442749467467)","(118.26161170561069, 36.22287229473427)"
8044,7486,7482,995.9492274,,"(118.26161170561069, 36.22287229473427)","(118.25386646391071, 36.22314457641981)"
8045,7479,7482,406.9985382,,"(118.25233716247187, 36.2262953771165)","(118.25386646391071, 36.22314457641981)"
8046,7485,7492,5932.707405,S002737003004110410,"(118.25823937653603, 36.22379417809193)","(118.27901233895963, 36.17809957988179)"
8047,7482,7480,143.0444203,,"(118.25386646391071, 36.22314457641981)","(118.25322674226248, 36.221963919675865)"
8048,7481,7483,194.0944371,,"(118.2533902796914, 36.2218859102222)","(118.25422816697072, 36.223498423850806)"
8049,7483,7484,678.1947151,,"(118.25422816697072, 36.223498423850806)","(118.25580138723218, 36.22475628001916)"
8050,7486,7484,563.1317221,,"(118.26161170561069, 36.22287229473427)","(118.25580138723218, 36.22475628001916)"
8051,7483,7485,389.4927612,,"(118.25422816697072, 36.223498423850806)","(118.25823937653603, 36.22379417809193)"
8052,7479,7485,600.9044631,,"(118.25233716247187, 36.2262953771165)","(118.25823937653603, 36.22379417809193)"
8053,7445,7479,22559.72779,S002737003003710370,"(118.07235780022816, 36.35643690003461)","(118.25233716247187, 36.2262953771165)"
8054,7484,7446,22798.45462,S002737003003820380,"(118.25580138723218, 36.22475628001916)","(118.07381600652784, 36.35628715169684)"
8055,7446,7443,416.1695051,,"(118.07381600652784, 36.35628715169684)","(118.0696048511206, 36.3578437762908)"
8056,7438,7445,583.4850757,,"(118.06653296105453, 36.358775148280515)","(118.07235780022816, 36.35643690003461)"
8057,7446,7440,831.2026424,,"(118.07381600652784, 36.35628715169684)","(118.06684685330957, 36.35687308642182)"
8058,7438,7440,229.2060393,,"(118.06653296105453, 36.358775148280515)","(118.06684685330957, 36.35687308642182)"
8059,7440,7436,613.0464022,,"(118.06684685330957, 36.35687308642182)","(118.06020162247923, 36.35591654721551)"
8060,7437,7439,587.8945285,,"(118.06030500812726, 36.355715352771)","(118.06675879730922, 36.3564685502027)"
8061,7439,7445,506.5498748,,"(118.06675879730922, 36.3564685502027)","(118.07235780022816, 36.35643690003461)"
8062,7439,7443,630.5990074,,"(118.06675879730922, 36.3564685502027)","(118.0696048511206, 36.3578437762908)"
8063,7443,7410,12396.38348,S002737003003620360,"(118.0696048511206, 36.3578437762908)","(117.97874202329916, 36.42983785211378)"
8064,7408,7438,12539.77735,S002737003003510350,"(117.97781839952813, 36.4334034001879)","(118.06653296105453, 36.358775148280515)"
8065,7406,7408,466.7212878,,"(117.97615387814768, 36.43738984766364)","(117.97781839952813, 36.4334034001879)"
8066,7410,7407,629.4643978,,"(117.97874202329916, 36.42983785211378)","(117.97724013288436, 36.43536448773849)"
8067,7410,7404,962.3220247,,"(117.97874202329916, 36.42983785211378)","(117.97496468989294, 36.434950755539255)"
8068,7406,7404,329.3959087,,"(117.97615387814768, 36.43738984766364)","(117.97496468989294, 36.434950755539255)"
8069,7405,7407,766.5686218,,"(117.97553544562298, 36.43481734396251)","(117.97724013288436, 36.43536448773849)"
8070,7405,7408,276.2957455,,"(117.97553544562298, 36.43481734396251)","(117.97781839952813, 36.4334034001879)"
8072,7404,7402,238.8236323,,"(117.97496468989294, 36.434950755539255)","(117.97230052855282, 36.434972484012505)"
